,en,pt
menu_start_game,Start Game,Começar Jogo
menu_settings,Settings,Configurações
menu_quit_game,Quit Game,Sair do Jogo
menu_version,Version:,Versão:
settings_language,Language,Idioma
settings_return,Return,Voltar
settings_display_mode,Screen Mode,Modo de Janela
settings_dm_fullscreen,Fullscreen,Tela Inteira
settings_dm_windowed,Windowed,Modo Janela
pa_1_title,Warm Peach,Pêssego-Quente
pa_1_description,Yum! Sweet and warm!,Delícia! Doce e Quente!
pa_2_title,Silver Ring of Breeze,Anel de Prata da Brisa
pa_2_description,I feel my legs lighter,Sinto minhas pernas mais leves
pa_3_title,,
pa_3_description,,
pa_4_title,Silver Ring of Flexing,Anel de Prata da Flexibilidade
pa_4_description,I feel my arms faster,Eu sinto meus braços mais rápidos
